epoch,loss,train_accuracy,train_macro_f1,test_accuracy,test_macro_f1
1,1.044904834324036,0.9153884215734784,0.9152605269045285,0.7551020408163265,0.7475449918693993
2,0.3004946619611398,0.9280059376546265,0.9279622046175325,0.6224489795918368,0.6174584708902627
3,0.2687378033501627,0.9356754082137556,0.9357353586654361,0.6479591836734694,0.6360123729453983
4,0.24734390587838553,0.9341909945571499,0.9341168097466053,0.673469387755102,0.666939549913688
5,0.24201894973629126,0.9369124195942603,0.9369954079926208,0.6326530612244898,0.6117067934313403
6,0.2262294546971517,0.9391390400791687,0.9392303570107371,0.673469387755102,0.6649433341131282
7,0.21330720026973213,0.937902028698664,0.9378361703303728,0.6377551020408163,0.6172684562722157
8,0.20754713895060178,0.9458189015338941,0.9458920820035851,0.6581632653061225,0.6504920194428273
9,0.19901856587612646,0.9413656605640772,0.9411490085701161,0.6938775510204082,0.6837162169392424
10,0.18295498966123727,0.9468085106382979,0.9467314472749153,0.6785714285714286,0.669649835721942
11,0.17585071763562896,0.9468085106382979,0.9466220743494128,0.6632653061224489,0.644938999539067
12,0.16727488467314053,0.9510143493320139,0.950893532093703,0.6275510204081632,0.6111911110513596
13,0.15401448920656702,0.9581890153389411,0.9581309264384342,0.673469387755102,0.6633189003570777
14,0.15411437097116604,0.954477981197427,0.9544677201354473,0.6530612244897959,0.6391725409228585
15,0.13846591873696273,0.9589312221672439,0.9589413902406296,0.673469387755102,0.6506420397684419
16,0.14508547636098287,0.9581890153389411,0.9581831289364064,0.6887755102040817,0.6843522487048507
17,0.13343611504110237,0.9589312221672439,0.9589377405877763,0.6989795918367347,0.6930771581628494
18,0.1339992964359158,0.9656110836219693,0.9655791190332922,0.6938775510204082,0.6812717516867085
19,0.1342209222432058,0.96313706086096,0.963090477204351,0.673469387755102,0.6515232186338068
20,0.1240918581502559,0.966848095002474,0.9667830813819048,0.6632653061224489,0.6533118755431273
21,0.12495370094564397,0.9703117268678871,0.9702692994639479,0.6785714285714286,0.6652916840089487
22,0.1106644138760168,0.9685799109351806,0.9685708681668871,0.673469387755102,0.663470237222442
23,0.1054615141701309,0.9745175655616032,0.9744450369743499,0.673469387755102,0.6598664944905165
24,0.10912259425903417,0.9675903018307769,0.9676275771871664,0.7040816326530612,0.6943286458264153
25,0.11320345945940166,0.9725383473527957,0.9725391298096181,0.7193877551020408,0.7072918551305164
26,0.09767906754869804,0.975259772389906,0.9752161935240246,0.6479591836734694,0.6427940486989057
27,0.08603908159004645,0.9782285997031173,0.9781617765745765,0.6785714285714286,0.672258701661411
28,0.0783415614364172,0.9784760019792182,0.978476825362051,0.6989795918367347,0.6892720016797792
29,0.0766531606838439,0.9782285997031173,0.9782177291751113,0.6632653061224489,0.6467210111545088
30,0.08109066977853648,0.9777337951509154,0.9776717637878195,0.6683673469387755,0.6585891368491082
31,0.07491904575670785,0.9789708065314201,0.9789415820443788,0.6785714285714286,0.6700002769342388
32,0.07320491978801871,0.975012370113805,0.9747764065545427,0.6581632653061225,0.6413380997560314
33,0.073453290060804,0.9851558634339436,0.9851384930369473,0.6479591836734694,0.6376912764560643
34,0.06952628300316495,0.9774863928748144,0.9773726732499022,0.673469387755102,0.661666006528003
35,0.06843779684366535,0.9777337951509154,0.9777054631947041,0.6683673469387755,0.6655862994243804
36,0.06650545182815287,0.9755071746660069,0.9754749419887839,0.6785714285714286,0.6747674158520965
37,0.06703429727021094,0.9804552201880258,0.9804297887816574,0.6428571428571429,0.6363887722561007
38,0.06483843849620743,0.9779811974270163,0.9780533327947722,0.7295918367346939,0.7251826525964457
39,0.06400394283017564,0.9777337951509154,0.9775817513763766,0.7040816326530612,0.7006934865802491
40,0.05833621917662055,0.9821870361207323,0.982110832234237,0.6785714285714286,0.6731726368258789
