subject,state,radar,start_s,end_s,duration_s,rsp_rr_bpm,ecg_hr_bpm,radar_rr_bpm,radar_hr_bpm,rr_abs_error,hr_abs_error,quality,motion_index,primary_bin,ghost_bin
S07_KDM,평소 호흡,1,286.1890000000001,336.1890000000001,50.0,15.58869824605152,94.33962264150944,6.231298738623238,54.51671243484629,9.357399507428282,39.822910206663146,0.030734999470874925,0.031215165356372532,13,88
S07_KDM,평소 호흡,2,286.1890000000001,336.1890000000001,50.0,15.58869824605152,94.33962264150944,6.810334433719505,45.802147582204746,8.778363812332014,48.53747505930469,0.009737906053868595,0.030431162667533193,64,81
S07_KDM,평소 호흡,3,286.1890000000001,336.1890000000001,50.0,15.58869824605152,94.33962264150944,6.717576542607862,45.1171875,8.871121703443658,49.222435141509436,0.020350630109153535,0.028548587396317857,14,81
S07_KDM,느린 호흡,1,346.1890000000001,396.1890000000001,50.0,5.960651659665556,87.71929824561403,6.507670326212484,45.1171875,0.5470186665469274,42.60211074561403,0.10391099269365103,0.031648521387829864,58,19
S07_KDM,느린 호흡,2,346.1890000000001,396.1890000000001,50.0,5.960651659665556,87.71929824561403,6.032609759978149,48.99876214878171,0.07195810031259242,38.72053609683232,0.04729921406845507,0.02900698139730233,19,80
S07_KDM,느린 호흡,3,346.1890000000001,396.1890000000001,50.0,5.960651659665556,87.71929824561403,5.941395662156933,52.32099620194618,0.0192559975086235,35.39830204366785,0.12697544601091032,0.02778982233517993,14,74
S07_KDM,숨 참기,1,403.1890000000001,430.1890000000001,27.0,5.4931640625,97.40259740259741,6.037057725322817,95.0885050020387,0.5438936628228168,2.3140924005587067,0.06429564322062996,0.0295960277865988,58,26
S07_KDM,숨 참기,2,403.1890000000001,430.1890000000001,27.0,5.4931640625,97.40259740259741,5.6641372671755486,92.96359715841186,0.17097320467554855,4.43900024418555,0.019651819101560872,0.029276144704363478,20,68
S07_KDM,숨 참기,3,403.1890000000001,430.1890000000001,27.0,5.4931640625,97.40259740259741,5.649044649615577,45.1171875,0.15588058711557728,52.28540990259741,0.12773410277385988,0.02775702553828501,13,17
S07_KDM,숨참기 후 호흡,1,436.1890000000001,486.1890000000001,50.0,11.413555375619262,91.74311926605505,11.399752182668426,45.66447195177985,0.013803192950836873,46.078647314275194,0.06090159547653499,0.029144227896720297,13,84
S07_KDM,숨참기 후 호흡,2,436.1890000000001,486.1890000000001,50.0,11.413555375619262,91.74311926605505,11.396685715282743,45.1171875,0.016869660336519487,46.62593176605505,0.013020436129920562,0.032211251813532606,46,38
S07_KDM,숨참기 후 호흡,3,436.1890000000001,486.1890000000001,50.0,11.413555375619262,91.74311926605505,11.227024458452263,57.35037404952269,0.18653091716699954,34.392745216532354,0.09932555322650148,0.030958891053784375,60,83
S07_KDM,운동 준비,1,491.1890000000001,506.1890000000001,15.0,9.256594579935046,104.16666666666667,7.788564988771601,95.50197634427586,1.468029591163445,8.664690322390811,0.0377894864132057,0.09487858723208559,63,36
S07_KDM,운동 준비,2,491.1890000000001,506.1890000000001,15.0,9.256594579935046,104.16666666666667,9.00039277328718,45.1171875,0.25620180664786574,59.04947916666667,0.005456648686516299,0.09252714955379017,46,63
S07_KDM,운동 준비,3,491.1890000000001,506.1890000000001,15.0,9.256594579935046,104.16666666666667,7.449666472967555,55.28172439177433,1.806928106967491,48.88494227489234,0.016342898126073004,0.16893510087998642,30,16
S07_KDM,스쿼트,1,506.1890000000001,566.1890000000001,60.0,21.861410948995356,119.5219123505976,4.98046875,45.1171875,16.880942198995356,74.4047248505976,0.050945875928260914,0.07499693676902136,15,23
