candidate,fold,seed,train_subject_n,validation_subject_n,test_subject_n,epochs_run,best_epoch,best_validation_loss,test_rr_window_mae_bpm,test_rr_window_within2,test_motion_balanced_accuracy,subject_count,rr_subject_macro_mae_bpm,rr_subject_macro_mae_sd,rr_subject_macro_within2,motion_subject_macro_balanced_accuracy,hidden_spike_rate,parameters,training_seconds
ANN_direct,1,42,18,3,6,30,13,0.07376872828957524,1.699594259262085,0.7714285714285715,0.9976190476190476,6,1.6942386054933314,1.0051355400874522,0.7720666044195457,0.9975490196078431,0.0,316994,13.40288219996728
ANN_direct,1,314,18,3,6,30,6,0.051589628506900014,2.1381900310516357,0.7,0.9976190476190476,6,2.1339912859109047,0.8254079904858375,0.7008714596949891,0.9976190476190476,0.0,316994,8.829123700037599
ANN_direct,1,2718,18,3,6,30,9,0.05469302656072674,1.6165282726287842,0.8,0.9952380952380953,6,1.6085811904721126,0.9563568513701565,0.8014394646747588,0.9953042328042327,0.0,316994,8.48368400009349
ANN_direct,2,42,18,3,6,30,6,0.03970019270488454,1.5835102796554565,0.7535545023696683,0.9119273301737757,6,1.5929931043984917,0.7823153071226723,0.7523887332710862,0.9117647058823529,0.0,316994,8.541863100137562
ANN_direct,2,314,18,3,6,34,19,0.026373495693327222,1.571299433708191,0.7582938388625592,0.9142969984202212,6,1.577812050967954,0.7356125828987481,0.7586523498288203,0.9142156862745098,0.0,316994,9.359415099956095
ANN_direct,2,2718,18,3,6,30,15,0.03442879703770538,1.4661539793014526,0.8199052132701422,0.9333333333333333,6,1.4765665906558259,0.7353335762665394,0.818821973233738,0.9333333333333332,0.0,316994,8.50179969985038
ANN_direct,3,42,19,3,5,30,12,0.0565332407254193,1.6129101514816284,0.7485714285714286,0.98,5,1.6164298656964058,0.6915362970194008,0.7478711484593837,0.9800000000000001,0.0,316994,8.785230700159445
ANN_direct,3,314,19,3,5,30,12,0.10676367270665815,1.6351317167282104,0.7771428571428571,0.9942857142857142,5,1.6377388455731972,0.3826277501175923,0.7761064425770309,0.9942016806722689,0.0,316994,8.8483190999832
ANN_direct,3,2718,19,3,5,30,7,0.17260714861137688,1.9009727239608765,0.6685714285714286,0.9885714285714285,5,1.9027876123237788,0.39985987202841716,0.6676657329598507,0.9884873949579832,0.0,316994,8.947079899953678
ANN_direct,4,42,19,3,5,30,8,0.06132274648671816,1.8978663682937622,0.7215909090909091,0.8914772727272727,5,1.8974820183950758,1.192413593701373,0.722063492063492,0.8914285714285715,0.0,316994,8.934390000067651
ANN_direct,4,314,19,3,5,31,16,0.05704027938212544,1.7325900793075562,0.7670454545454546,0.9171590909090909,5,1.7333643985173057,1.175480322050597,0.7671428571428571,0.917142857142857,0.0,316994,9.125245200004429
ANN_direct,4,2718,19,3,5,41,26,0.07287922065979342,1.803742527961731,0.7102272727272727,0.9171590909090909,5,1.8037385858051362,1.2466463435241257,0.7104761904761905,0.917142857142857,0.0,316994,12.118985299952328
ANN_direct,5,42,19,3,5,45,30,0.09989718897168844,0.7219595909118652,0.9428571428571428,1.0,5,0.7219596290588379,0.0762701081283497,0.9428571428571427,1.0,0.0,316994,13.23403470008634
ANN_direct,5,314,19,3,5,44,29,0.1314360525728311,0.6161283850669861,0.9657142857142857,1.0,5,0.6161283738272532,0.0846910031998385,0.9657142857142856,1.0,0.0,316994,13.03550160001032
ANN_direct,5,2718,19,3,5,63,48,0.0783057421577211,0.7263429760932922,0.9428571428571428,1.0,5,0.7263429532732283,0.1126986455158604,0.9428571428571427,1.0,0.0,316994,18.662370499921963
SNN_direct,1,42,18,3,6,92,77,0.061669954629002044,1.9661927223205566,0.7428571428571429,0.9928571428571429,6,1.960636078547066,1.010174215085506,0.7436041083099907,0.9928571428571429,0.3197526805930667,2306,20.185073799919337
SNN_direct,1,314,18,3,6,74,59,0.06844225637239187,1.9335380792617798,0.7523809523809524,0.9904761904761905,6,1.9275671035561501,1.0745227769559669,0.7533924680983505,0.9904761904761905,0.301964412132899,2306,15.924626599997282
SNN_direct,1,2718,18,3,6,78,63,0.06493745497131946,1.9054198265075684,0.7523809523809524,0.9928571428571429,6,1.897965123024159,1.0419081954688407,0.753688141923436,0.9928571428571429,0.2974881754981147,2306,16.61106720007956
