candidate,seed,subject_count,rr_subject_macro_mae_bpm,rr_subject_macro_mae_sd,rr_subject_macro_within2,motion_subject_macro_balanced_accuracy
ANN_direct,42,27,1.5149165861149088,0.8746836006975478,0.7855811460386624,0.9543471234647706
ANN_direct,314,27,1.5632214115134049,0.8518492024617089,0.7889615105301381,0.9626050420168067
ANN_direct,2718,27,1.506490090510309,0.8440203995785566,0.7898727392191445,0.9653837175896
SNN_delta_event,42,27,1.3849952272975221,0.8417205718419946,0.8183905661029844,0.9565925087983912
SNN_delta_event,314,27,1.4486359196035399,0.7918340074493376,0.8153992461182005,0.9582408604467427
SNN_delta_event,2718,27,1.443043785650593,0.7917582085442453,0.8077151848393678,0.9626364648423471
SNN_direct,42,27,1.469675686912063,0.8470669188610488,0.8045042708441401,0.9576923076923076
SNN_direct,314,27,1.5395421186159497,0.8294871824713176,0.7940035273368607,0.9543632837750485
SNN_direct,2718,27,1.514106936286082,0.8164248680356364,0.7971349033440537,0.9582255979314803
SNN_signed_rate,42,27,1.4104359607279011,0.8441427585338802,0.8163035584604211,0.9560430582489408
SNN_signed_rate,314,27,1.4861050176765591,0.7895921150063153,0.8045993706124427,0.958240860446743
SNN_signed_rate,2718,27,1.4509975608950083,0.8111284809127312,0.8150378669986513,0.96098721539898
