candidate,fold,seed,model,epoch,train_loss,train_rr_loss,train_motion_loss,val_loss,val_rr_loss,val_motion_loss,spike_rate,epoch_seconds
ANN_direct,1,42,ANN_direct_f1_s42,1,2.733527190216658,2.6800544434123568,0.2673637340215048,0.82503051652569,0.8171295523643494,0.03950482080670338,0.0,0.2909798000473529
ANN_direct,1,42,ANN_direct_f1_s42,2,0.5463355234475453,0.526092309008042,0.10121607219751634,0.40285437349254316,0.3968978822231293,0.029782456347069476,0.0,0.2890703999437392
ANN_direct,1,42,ANN_direct_f1_s42,3,0.30348480709243136,0.29041692465543745,0.06533941218496965,0.30051771070744254,0.29889172315597534,0.008129937757335962,0.0,0.29366480000317097
ANN_direct,1,42,ANN_direct_f1_s42,4,0.34492173580075786,0.3380160164088011,0.03452859695978375,0.1269133359277339,0.12649069726467133,0.002113193315312912,0.0,0.29114859993569553
ANN_direct,1,42,ANN_direct_f1_s42,5,0.1549639017099329,0.14401630512956115,0.05473798290185872,0.08152599360382501,0.0814695656299591,0.0002821398693295066,0.0,0.30767470016144216
ANN_direct,1,42,ANN_direct_f1_s42,6,0.1343918303201157,0.12070398477630483,0.0684392277190543,0.09516012520974096,0.09508777409791946,0.00036175555910744525,0.0,0.3097820000257343
ANN_direct,1,42,ANN_direct_f1_s42,7,0.10494975383848482,0.09884485250545873,0.030524506665130458,0.09362356722635547,0.09345298260450363,0.0008529231092591443,0.0,0.31280030007474124
ANN_direct,1,42,ANN_direct_f1_s42,8,0.08547769082340605,0.0723634594016605,0.06557115710872773,0.11451093016693761,0.11415907740592957,0.0017592638050402465,0.0,0.3125679998192936
ANN_direct,1,42,ANN_direct_f1_s42,9,0.06042496819378039,0.05754803485340542,0.014384666701874793,0.08937429857760772,0.08929447829723358,0.000399101401870652,0.0,0.38175060017965734
ANN_direct,1,42,ANN_direct_f1_s42,10,0.042420583380925206,0.04157215040177107,0.004242164895770644,0.08843675217014313,0.08838294446468353,0.00026903852729798157,0.0,0.4763923001009971
ANN_direct,1,42,ANN_direct_f1_s42,11,0.04458465496220897,0.04410192063595686,0.0024136716312605057,0.09228491712512848,0.09224547445774078,0.00019721333693854053,0.0,0.500557400053367
ANN_direct,1,42,ANN_direct_f1_s42,12,0.03280707322576759,0.03244096531739665,0.001830539541854662,0.09816659419181603,0.09813927859067917,0.00013657800568428547,0.0,0.5307698999531567
ANN_direct,1,42,ANN_direct_f1_s42,13,0.0323707554125591,0.032096252367935243,0.0013725152231192858,0.07376872828957524,0.07374096661806107,0.0001388083575708682,0.0,0.5452620999421924
ANN_direct,1,42,ANN_direct_f1_s42,14,0.028518786500570822,0.02823866798231999,0.001400592591254159,0.08763750281645677,0.08760878443717957,0.00014359189638599854,0.0,0.5331086998339742
