relative_angle_deg,n,median_quality,primary_rr_mae,path_fused_rr_mae,primary_hr_mae,path_fused_hr_mae,ghost_candidate_ratio
-90,10,0.013501518017009098,7.914280954294556,7.769124157193502,42.29901140641927,43.204082085873374,1.0
-45,20,0.01620110857416256,3.939100652092241,3.533763110775207,35.36810191263122,35.45927931687708,1.0
0,30,0.022342163131969482,3.4462584682532693,3.2990342468158116,40.109388990173244,42.29580259530103,1.0
45,20,0.019354067480778975,3.2715496052498096,3.4394204863008206,39.22428796915662,40.42649842492373,1.0
90,10,0.016895545978087043,8.649116695576213,8.366696334311701,39.65946172708146,36.20135146523396,0.9
