method,n_segments,rr_mae_bpm,rr_median_ae_bpm,rr_within_2_ratio,hr_mae_bpm,hr_median_ae_bpm,hr_within_5_ratio
3레이더 중앙값,30,4.608679863392871,0.4468765292171506,0.5666666666666667,41.340128739902845,38.844366398906146,0.0
레이더1 고정,30,3.9561403606976664,0.4278979629860622,0.6333333333333333,39.374600993886396,39.869330219568575,0.06666666666666667
레이더2 고정,30,3.595623220524241,0.17198186968153095,0.7,39.56253005109008,38.68431062734083,0.03333333333333333
레이더3 고정,30,5.774666560812991,5.939787638840349,0.36666666666666664,40.417667895227545,38.34228416578928,0.0
명목상 정면 레이더,30,3.2990342468158116,0.19458433120109664,0.6666666666666666,42.29580259530103,39.869330219568575,0.0
품질 가중 평균,30,4.12783904263002,3.9583377881558466,0.3333333333333333,38.87910360311238,37.68807342772196,0.0
품질 최고 레이더,30,6.153415508665031,5.939787638840349,0.4,38.14732238919895,38.60366385751481,0.06666666666666667
