subject,experiment,state,nominal_facing_radar,radar,start_s,end_s,duration_s,rsp_rr_bpm,primary_bin,auxiliary_bin,auxiliary_corr,radar_rr_bpm,primary_rr_bpm,path_fused_rr_bpm,primary_rr_abs_error,path_fused_rr_abs_error,rr_abs_error,quality,phase_bad,spectral_entropy,peak_fraction,edge_margin_hz,motion_index
S07_KDM,S01,FACE_R1,1,1,30.459,79.4,48.941,11.53736799776929,67,78,-0.769504139601861,11.655899954332392,11.674359256413377,11.655899954332392,0.13699125864408757,0.11853195656310334,0.11853195656310334,1.9855762428860007,0.009197751660705161,0.7453505581057175,0.11634903288772733,0.04457265427355628,0.030066882285210903
S07_KDM,S01,FACE_R1,1,2,30.459,79.4,48.941,11.53736799776929,19,75,0.7943159095996177,11.535087936992198,11.62501411051052,11.535087936992198,0.08764611274123091,0.0022800607770907533,0.0022800607770907533,3.0873724832315403,0.0,0.6697929563952492,0.1235617837159726,0.043750235175175345,0.030606468573093983
S07_KDM,S01,FACE_R1,1,3,30.459,79.4,48.941,11.53736799776929,12,78,0.7376707306127024,11.554221620628429,11.64195071242637,11.554221620628429,0.1045827146570808,0.016853622859139605,0.016853622859139605,1.7050823840925915,0.0,0.6314752077395901,0.13485608348699113,0.04403251187377283,0.023423433883220462
S07_KDM,S01,FACE_R2,2,1,89.4,141.3,51.9,17.2789657455842,14,23,0.9258424762995873,16.952713572034632,16.982492146348886,16.952713572034632,0.2964735992353127,0.32625217354956604,0.32625217354956604,2.236861632937049,0.0,0.7475319892215301,0.09926500123337356,0.13304153577248143,0.028282656098357093
S07_KDM,S01,FACE_R2,2,2,89.4,141.3,51.9,17.2789657455842,29,64,0.7853283747711705,17.04348355862716,17.21688947771315,17.04348355862716,0.06207626787104914,0.23548218695703937,0.23548218695703937,1.4496355953735396,0.005301204819277108,0.7814026791910942,0.09386023048194608,0.13694815796188584,0.029611613500613445
S07_KDM,S01,FACE_R2,2,3,89.4,141.3,51.9,17.2789657455842,16,28,-0.8835914460299344,16.87143726587806,16.790587485144968,16.87143726587806,0.48837826043923016,0.40752847970613715,0.40752847970613715,2.0614077325322593,0.0,0.743474639013112,0.09448227493682912,0.12984312475241613,0.02646947324867326
S07_KDM,S01,FACE_R3,3,1,151.3,209.345,58.045,11.208947016784547,11,73,-0.6526158967735936,12.306798081088514,11.553487611017237,12.306798081088514,0.34454059423269,1.097851064303967,1.097851064303967,0.9957296497926186,0.0008616975441619991,0.7069875592570277,0.09233614870354691,0.04255812685028729,0.026325600542893846
S07_KDM,S01,FACE_R3,3,2,151.3,209.345,58.045,11.208947016784547,68,32,0.7554653906415632,11.120985395823903,11.267907920758558,11.120985395823903,0.0589609039740111,0.08796162096064464,0.08796162096064464,2.2794500041479178,0.005601034037052995,0.6751427990186297,0.11336196889987363,0.03779846534597597,0.031198889952222655
S07_KDM,S01,FACE_R3,3,3,151.3,209.345,58.045,11.208947016784547,32,77,0.7908922336433424,11.051200733637108,10.88161298185075,11.051200733637108,0.32733403493379676,0.15774628314743921,0.15774628314743921,1.4928548972077023,0.004308487720809996,0.7838541243693458,0.09369381310480017,0.03136021636417918,0.028120923656700103
S07_KDM,S02,NORMAL,,1,286.189,336.189,50.0,15.587172268442544,73,15,-0.7786877780415642,16.20164724158091,16.272526510586474,16.20164724158091,0.68535424214393,0.6144749731383676,0.6144749731383676,1.0320401453410792,0.0,0.781945599663202,0.07784739795011472,0.12120877517644121,0.031215165356372532
S07_KDM,S02,NORMAL,,2,286.189,336.189,50.0,15.587172268442544,65,79,-0.7569893078257102,14.084959786786701,14.146642825514505,14.084959786786701,1.4405294429280389,1.5022124816558424,1.5022124816558424,1.0032357818974775,0.0015,0.8402279422462151,0.0606353743810572,0.08577738042524174,0.030431162667533193
S07_KDM,S02,NORMAL,,3,286.189,336.189,50.0,15.587172268442544,61,14,0.7672220402940977,16.27212675831719,16.28030935764356,16.27212675831719,0.6931370892010165,0.6849544898746451,0.6849544898746451,1.4036933266027742,0.0,0.7350528616187607,0.09806968147579266,0.12133848929405935,0.028548587396317857
S07_KDM,S02,SLOW,,1,346.189,396.189,50.0,6.021333441228996,12,24,0.804370580252036,5.920019549095332,5.864690632534197,5.920019549095332,0.15664280869479885,0.10131389213366404,0.10131389213366404,4.7019022368096595,0.009,0.6301654544521941,0.13293545453000183,0.02774484387556994,0.031648521387829864
S07_KDM,S02,SLOW,,2,346.189,396.189,50.0,6.021333441228996,20,29,0.7711633156590655,5.931401741550137,5.893206706718745,5.931401741550137,0.1281267345102508,0.08993169967885883,0.08993169967885883,3.711982828818849,0.0025,0.6894052666149489,0.1306079949375747,0.02822011177864575,0.02900698139730233
