candidate,fold,seed,epoch,train_loss,wave_loss,rr_loss,motion_loss,apnea_loss,spike_rate,validation_loss
CNN_GRU,1,42,1,1.328913950920105,0.6177907631947444,0.39218338957199683,1.226951945745028,1.3482054380270152,0.0,1.3853607177734375
CNN_GRU,1,42,2,1.27406508739178,0.5647463101607103,0.3920926813895886,1.2203412074309128,1.3460208801122813,0.0,1.3222629698840054
CNN_GRU,1,42,3,1.2389326315659743,0.5333677557798532,0.3906573474407196,1.2057292296336248,1.3454517089403593,0.0,1.3384981155395508
CNN_GRU,1,42,4,1.1951394191155067,0.506565996316763,0.3880653500556946,1.127309643305265,1.3453940043082604,0.0,1.2617828845977783
CNN_GRU,1,42,5,1.0985452972925627,0.4965467530947465,0.3727078093932225,0.7252179654744956,1.353005154316242,0.0,1.1379727775400335
CNN_GRU,1,42,6,1.0034511731221125,0.47489477120912993,0.34561411554996785,0.46440957761727847,1.3143370665036715,0.0,1.0497827855023472
CNN_GRU,1,42,7,0.9277589394496037,0.46823791769834666,0.2968723583679933,0.3140915665488977,1.241332637346708,0.0,0.9806213812394575
CNN_GRU,1,42,8,0.8776644523327167,0.4579249803836529,0.2677198079916147,0.28865925176785545,1.1407385285084064,0.0,0.9451748674566095
CNN_GRU,1,42,9,0.8096360720120943,0.4444352993598351,0.21906952628722556,0.252324083676705,1.026005965929765,0.0,1.0201992229981856
CNN_GRU,1,42,10,0.7658420677368457,0.43812961394970235,0.23611759188083503,0.26236774245133765,0.7859005242586136,0.0,1.0082248557697644
CNN_GRU,1,42,11,0.76583228294666,0.43434943144138044,0.24607169330120088,0.22028873333564172,0.8219462853211623,0.0,0.8678080006079241
CNN_GRU,1,42,12,0.7284784335356492,0.4370297372341156,0.244830807355734,0.26577682718634604,0.5793896377086639,0.0,0.9991903088309548
CNN_GRU,1,42,13,0.632311567893395,0.4178894923283504,0.1947294845030858,0.1834173678778685,0.40186932820540205,0.0,0.9119228829037059
CNN_GRU,1,42,14,0.6285490416563474,0.41162803860811087,0.20401310874865605,0.19356319308280945,0.38100905624719766,0.0,0.8263666413047097
