candidate,fold,seed,best_epoch,epochs_run,parameters,training_seconds,rr_n,rr_head_mae_bpm,rr_head_within2,rr_wave_mae_bpm,wave_abs_correlation,subject_macro_rr_head_mae_bpm,subject_macro_wave_abs_correlation,motion_balanced_accuracy,apnea_balanced_accuracy
CNN_GRU,1,42,20,35,108949,112.31713850004598,294,3.846107054729851,0.37755102040816324,3.3975191375836222,0.33624275882576343,3.842930866093322,0.33654499088268824,0.9689542483660131,0.6741071428571429
CNN_SNN,1,42,10,25,95509,160.3934124999214,294,4.598679224650065,0.2755102040816326,4.823081162511086,0.2678119083050778,4.595173523522019,0.2678680693581246,0.9591503267973855,0.6443452380952381
